timestep cumulative_finished interval_finished
100 0 0
200 0 0
300 1 1
400 1 0
500 2 1
600 7 5
700 8 1
800 10 2
900 11 1
1000 12 1
1100 15 3
1200 18 3
1300 19 1
1400 20 1
1500 22 2
1600 23 1
1700 26 3
1800 26 0
1900 26 0
2000 28 2
2100 29 1
2200 29 0
2300 30 1
2400 31 1
2500 31 0
2600 31 0
2700 31 0
2800 32 1
2900 32 0
3000 32 0
3100 33 1
3200 35 2
3300 35 0
3400 35 0
3500 35 0
3600 35 0
3700 37 2
3800 37 0
3900 38 1
4000 40 2
4100 43 3
4200 43 0
4300 44 1
4400 45 1
4500 47 2
4600 48 1
4700 48 0
4800 50 2
4900 50 0
5000 50 0
5100 50 0
5200 51 1
5300 51 0
5400 53 2
5500 53 0
5600 53 0
5700 53 0
5800 54 1
5900 54 0
6000 54 0
6100 54 0
6200 55 1
6300 56 1
6400 57 1
6500 59 2
6600 60 1
6700 60 0
6800 60 0
6900 61 1
7000 61 0
7100 62 1
7200 63 1
7300 63 0
7400 63 0
7500 63 0
7600 63 0
7700 65 2
7800 65 0
7900 67 2
8000 69 2
8100 70 1
8200 71 1
8300 72 1
8400 72 0
8500 72 0
8600 72 0
8700 72 0
8800 72 0
8900 73 1
9000 73 0
9100 74 1
9200 74 0
9300 74 0
9400 74 0
9500 74 0
9600 76 2
9700 77 1
9800 77 0
9900 78 1
10000 79 1
